city_name;country_name;year_observation;year_reporting;gpcX2012;gpcX2013;gpcX2014;gpcX2015;gpcX2016;City_Code;geoname_id
Brandenburg an der Havel;Germany;;2019;36919;36327;36938;37989;38442;DE056C1;2945358
Gießen;Germany;;2019;42141;41322;42480;42447;43470;DE057C1;2920512
Lüneburg;Germany;;2019;31250;32207;33279;33822;33838;DE058C1;2875115
Bayreuth;Germany;;2019;71916;73204;74556;76524;78893;DE059C1;2951825
Celle;Germany;;2019;35962;35757;36427;36693;36248;DE060C1;2940213
Aschaffenburg;Germany;;2019;95604;91420;88483;89953;96602;DE061C1;2955272
Bamberg;Germany;;2019;72739;74036;72693;73895;75719;DE062C1;2952984
Plauen;Germany;;2019;28821;28919;29537;29970;30372;DE063C1;2853292
Neubrandenburg;Germany;;2019;31165;31163;31587;31711;31993;DE064C1;2866135
Fulda;Germany;;2019;43985;44610;44853;45599;45886;DE065C1;2923822
Kempten (Allgäu);Germany;;2019;68280;70718;70167;68889;71423;DE066C1;2891621
Landshut;Germany;;2019;71197;72003;73950;68884;70543;DE067C1;2881485
Sindelfingen;Germany;;2019;71751;73655;76272;83259;82736;DE068C1;2831948
Rosenheim;Germany;;2019;59272;59698;60100;60493;63795;DE069C1;2844988
Frankenthal (Pfalz);Germany;;2019;43530;42699;42938;41633;41090;DE070C1;2925550
Stralsund;Germany;;2019;28077;28066;28394;28762;28915;DE071C1;2826287
Friedrichshafen;Germany;;2019;57453;57915;58096;57381;62260;DE072C1;2924585
Offenburg;Germany;;2019;46772;46962;47846;48159;49347;DE073C1;2857798
Görlitz;Germany;;2019;30052;30350;31155;31309;31809;DE074C1;2918987
Sankt Augustin;Germany;;2019;35463;36138;36888;35972;34415;DE075C1;2841648
Neu-Ulm;Germany;;2019;42790;43373;43877;44030;46893;DE076C1;2863941
Schweinfurt;Germany;;2019;122869;120525;123059;120461;124717;DE077C1;2834498
Greifswald;Germany;;2019;27162;27716;28530;28878;29515;DE078C1;2917788
Wetzlar;Germany;;2019;40304;39628;40434;41030;41278;DE079C1;2809889
Speyer;Germany;;2019;59337;61709;64542;63670;63366;DE080C1;2830582
Passau;Germany;;2019;80493;80046;80200;79162;81168;DE081C1;2855328
Dessau-Roßlau;Germany;;2019;35517;35048;35954;36357;36394;DE082C1;2937959
Duisburg;Germany;;2019;45117;43472;44560;43509;41766;DE501C1;2934691
Mannheim;Germany;;2019;78681;79766;78398;79711;79728;DE502C1;2873891
Gelsenkirchen;Germany;;2019;39444;38562;37081;36952;36803;DE503C1;2921466
Münster;Germany;;2019;70494;70872;71514;70476;69696;DE504C1;2867542
Chemnitz;Germany;;2019;41379;41506;41991;41789;42865;DE505C1;2940132
Braunschweig;Germany;;2019;55969;55349;57412;55330;59954;DE506C1;2945024
Aachen;Germany;;2019;44244;42784;45457;45530;46227;DE507C1;3247449
Krefeld;Germany;;2019;49211;47325;47176;46310;46714;DE508C1;2884509
Oberhausen;Germany;;2019;34383;35903;35748;35607;34237;DE509C1;2860410
Lübeck;Germany;;2019;45985;46004;48360;47989;48110;DE510C1;2875601
Hagen;Germany;;2019;43117;42131;42921;41705;41413;DE511C1;2912621
Kassel;Germany;;2019;60037;59708;62645;62117;63190;DE513C1;2892518
Hamm;Germany;;2019;35917;35351;36233;35226;35149;DE514C1;2911240
Herne;Germany;;2019;30282;29653;29586;29330;28868;DE515C1;2905891
Solingen;Germany;;2019;36675;37223;37478;38427;39161;DE516C1;2831580
Osnabrück;Germany;;2019;59795;60360;62215;62418;61052;DE517C1;2856883
Ludwigshafen am Rhein;Germany;;2019;103926;96959;96803;104093;103932;DE518C1;2875376
Leverkusen;Germany;;2019;59762;55448;56819;55990;58521;DE519C1;2878234
Oldenburg (Oldenburg);Germany;;2019;55770;53833;53886;54200;56210;DE520C1;2857458
Neuss;Germany;;2019;51062;50186;50330;51052;50578;DE521C1;2864118
Heidelberg;Germany;;2019;69735;68298;69873;67316;66788;DE522C1;2907911
Paderborn;Germany;;2019;42162;42398;44045;42913;44086;DE523C1;2855745
Würzburg;Germany;;2019;72964;74716;76018;76249;75929;DE524C1;2805615
Recklinghausen;Germany;;2019;31668;31457;32035;31475;30723;DE525C1;2849647
Wolfsburg;Germany;;2019;171889;169299;176667;145606;224553;DE526C1;2806654
Bremerhaven;Germany;;2019;38747;43873;43457;43179;43742;DE527C1;2944368
Bottrop;Germany;;2019;28122;26885;25713;26230;27013;DE528C1;2945756
Heilbronn;Germany;;2019;65484;65844;65721;67701;65227;DE529C1;2907669
Remscheid;Germany;;2019;44847;43720;45258;43693;43745;DE530C1;2848273
Offenbach am Main;Germany;;2019;50913;49138;48927;48418;46731;DE531C1;2857807
Ulm;Germany;;2019;92233;92488;90575;93753;94101;DE532C1;2820256
Pforzheim;Germany;;2019;55991;57424;54365;52542;51063;DE533C1;2853969
Ingolstadt;Germany;;2019;145263;165234;160456;167647;161413;DE534C1;2895992
Gera;Germany;;2019;32551;33063;33894;34445;34500;DE535C1;2921232
Salzgitter;Germany;;2019;59865;61389;62998;55584;63501;DE536C1;2842150
Reutlingen;Germany;;2019;46296;47832;49576;49200;49732;DE537C1;2847736
Fürth;Germany;;2019;40633;40282;41550;42367;42699;DE538C1;2923544
Cottbus;Germany;;2019;39218;39305;40619;41670;42424;DE539C1;2939811
Siegen;Germany;;2019;48202;47369;48079;48482;48716;DE540C1;2832495
Bergisch Gladbach;Germany;;2019;30599;30474;31486;31367;31955;DE541C1;2950349
Hildesheim;Germany;;2019;33929;32982;34073;34093;34450;DE542C1;2904789
Witten;Germany;;2019;37179;37096;38402;37346;37580;DE543C1;2807363
Zwickau;Germany;;2019;33202;33126;35463;36648;37589;DE544C1;2803560
Erlangen;Germany;;2019;112176;107416;109818;116069;116241;DE545C1;2929567
Wuppertal;Germany;;2019;43665;43536;45366;45571;46606;DE546C1;2805753
Jena;Germany;;2019;45492;47323;49935;50812;50663;DE547C1;2895044
København;Denmark;;2019;66212;66244;68961;69246;70583;DK001C1;2618425
Århus;Denmark;;2019;41456;41223;41458;42003;44640;DK002C1;2624652
Odense;Denmark;;2019;36618;36766;37204;37759;38951;DK003C1;2615876
Aalborg;Denmark;;2019;40183;40335;40313;41289;42288;DK004C2;2624886
Tallinn;Estland;;2019;40375;40969;42773;43671;44471;EE001C1;588409
Tartu;Estland;;2019;18421;18793;19482;20222;21051;EE002C1;588335
Narva;Estland;;2019;17265;18574;17917;16145;15308;EE003C1;590031
Athina;Greece;;2019;36758.0017625626;36121.5182038603;36611.8186166683;36530.0444331614;36658.3740195451;EL001C1;264371
Thessaloniki;Greece;;2019;23013;22086;22085;22643;23086;EL002C1;734077
Pátra;Greece;;2019;22621;21074;21642;21572;21408;EL003C1;255683
Heraklion;Greece;;2019;21411;21561;22333;22373;22287;EL004C1;261745
Larisa;Greece;;2019;22131;21772;22465;23033;23666;EL005C1;258576
Volos;Greece;;2019;21012;20127;20196;21029;20867;EL006C1;251833
Ioannina;Greece;;2019;18886;17955;18965;18940;19754;EL007C1;261779
Kavala;Greece;;2019;22451;20808;22141;22035;22076;EL008C1;735861
Kalamata;Greece;;2019;20364;19467;19970;20103;20258;EL009C1;261604
Madrid;Espana;;2019;46040;45459;46220;47985;49219;ES001C1;3117735
Barcelona;Espana;;2019;39140;38989;40040;41626;43136;ES002C1;3128760
Valencia;Espana;;2019;31084;30852;31699;32616;32911;ES003C1;2509954
Sevilla;Espana;;2019;27350;26400;26952;27594;28208;ES004C1;2510911
Zaragoza;Espana;;2019;35942;35847;36463;37381;38837;ES005C1;3104342
Málaga;Espana;;2019;24411;23884;24482;25315;25833;ES006C1;2514256
Murcia;Espana;;2019;27482;27433;27628;29263;29973;ES007C1;2513416
Las Palmas;Espana;;2019;26877;26634;26560;26738;27794;ES008C1;2515270
Valladolid;Espana;;2019;34028;33686;34402;35699;37002;ES009C1;3106672
Palma de Mallorca;Espana;;2019;37133;36688;37599;39112;40672;ES010C1;2512989
Santiago de Compostela;Espana;;2019;31108;31048;31014;32625;33663;ES011C1;3109642
Vitoria/Gasteiz;Espana;;2019;50279;50596;52103;52915;53981;ES012C1;3104499
Oviedo;Espana;;2019;30232;29452;29634;30764;31360;ES013C1;3114711
Pamplona/Iruña;Espana;;2019;40960;40806;41615;42869;44010;ES014C1;3114472
Santander;Espana;;2019;31191;30415;31103;31763;32823;ES015C1;3109718
Toledo;Espana;;2019;24382;24143;24087;24989;26013;ES016C1;2510409
Badajoz;Espana;;2019;23172;23170;23179;24508;25249;ES017C1;2521420
